"match_id","date","top_runs_pct","middle_runs_pct","top_bf_pct","middle_bf_pct","top_sr","middle_sr","top_time_pct","middle_time_pct","top_x4s_pct","middle_x4s_pct","top_x6s_pct","middle_x6s_pct","mov"
65235,"2003-02-09",0.446969696969697,0.553030303030303,0.5625,0.4375,32.0266666666667,148.0525,0.521541950113379,0.478458049886621,0.48,0.52,0.4,0.6,0.0113636363636364
65236,"2003-02-10",0.76219512195122,0.23780487804878,0.817275747508306,0.182724252491694,102.49,141.81,0.810526315789474,0.189473684210526,0.875,0.125,0.666666666666667,0.333333333333333,0.26219512195122
65237,"2003-02-10",0.81496062992126,0.149606299212598,0.81578947368421,0.151315789473684,69.2333333333333,75.0875,0.855450236966825,0.113744075829384,0.904761904761905,0.0952380952380952,NA,NA,0.18503937007874
65238,"2003-02-11",0.290322580645161,0.594982078853047,0.361563517915309,0.543973941368078,59.4266666666667,56.3475,0.438799076212471,0.457274826789838,0.303030303030303,0.575757575757576,0,1,0.293906810035842
65239,"2003-02-11",0.382165605095541,0.375796178343949,0.276094276094276,0.437710437710438,74.9833333333333,29.1375,0.317258883248731,0.390862944162437,0.470588235294118,0.352941176470588,0.5,0.5,0.382165605095541
65240,"2003-02-12",0.496,0.4,0.422413793103448,0.491379310344828,36.08,39.595,0.378048780487805,0.515243902439024,0.7,0.2,0,0.5,NA
65241,"2003-02-12",0.341968911917098,0.544041450777202,0.384353741496599,0.557823129251701,54.6266666666667,59.84,0.356265356265356,0.577395577395577,0.615384615384615,0.384615384615385,0,0,0.352331606217617
65242,"2003-02-13",0.373333333333333,0.311111111111111,0.397350993377483,0.347682119205298,72.57,63.3775,0.423173803526448,0.340050377833753,0.631578947368421,0.263157894736842,0.25,0.25,0.0888888888888889
65244,"2003-02-15",0.44954128440367,0.137614678899083,0.334661354581673,0.342629482071713,67.9533333333333,10.98,0.451790633608815,0.261707988980716,0.454545454545455,0.0909090909090909,0,0,NA
65245,"2003-02-15",0.243386243386243,0.576719576719577,0.233898305084746,0.63728813559322,58.76,45.7225,0.25,0.604591836734694,0.294117647058824,0.588235294117647,0.333333333333333,0.5,NA
65246,"2003-02-16",0.150793650793651,0.555555555555556,0.281456953642384,0.47682119205298,22.2833333333333,26.56,0.295843520782396,0.501222493887531,0.142857142857143,0.5,NA,NA,NA
65247,"2003-02-16",0.489270386266094,0.44206008583691,0.578073089700997,0.378737541528239,66.8333333333333,91.9225,0.590452261306533,0.364321608040201,0.454545454545455,0.454545454545455,NA,NA,0.733905579399142
65248,"2003-02-16",0.681818181818182,0.300699300699301,0.67986798679868,0.306930693069307,87.3066666666667,99.3275,0.685057471264368,0.298850574712644,0.823529411764706,0.176470588235294,0.6,0.4,NA
65249,"2003-02-18",0.294930875576037,0.631336405529954,0.390879478827362,0.553745928338762,35.5566666666667,85,0.426829268292683,0.502439024390244,0.5,0.4375,0,0.833333333333333,NA
65250,"2003-02-19",0.542016806722689,0.390756302521008,0.555183946488294,0.40133779264214,72.0566666666667,67.25,0.58679706601467,0.39119804400978,0.761904761904762,0.142857142857143,0,1,0.348739495798319
65251,"2003-02-19",0.290322580645161,0.32258064516129,0.345132743362832,0.221238938053097,12,20.085,0.3,0.258823529411765,0.4,0.4,NA,NA,NA
65252,"2003-02-19",0.295454545454545,0.511363636363636,0.316831683168317,0.557755775577558,71.88,81.795,0.347715736040609,0.510152284263959,0.423076923076923,0.384615384615385,0.25,0.75,0.208333333333333
65254,"2003-02-22",0.102272727272727,0.579545454545455,0.237442922374429,0.547945205479452,23.3333333333333,43.17,0.236760124610592,0.529595015576324,0.142857142857143,0.571428571428571,0,0,NA
65255,"2003-02-22",0.291845493562232,0.55793991416309,0.337704918032787,0.504918032786885,47.97,83.985,0.347222222222222,0.50462962962963,0.333333333333333,0.571428571428571,0.5,0,0.48068669527897
65256,"2003-02-23",0.768421052631579,0.221052631578947,0.513307984790874,0.44106463878327,89.7,35.2675,0.568047337278107,0.375739644970414,0.733333333333333,0.266666666666667,1,0,NA
65257,"2003-02-23",0.976271186440678,0.023728813559322,0.976744186046512,0.0232558139534884,98.2566666666667,100,0.968446601941748,0.0315533980582524,0.96551724137931,0.0344827586206897,1,0,0.613559322033898
65258,"2003-02-24",0.395604395604396,0.373626373626374,0.364238410596026,0.45364238410596,41.7733333333333,47.74,0.403022670025189,0.425692695214106,0.555555555555556,0.333333333333333,1,0,0.291208791208791
65259,"2003-02-24",0.314655172413793,0.323275862068966,0.398026315789474,0.4375,42.15,41.515,0.379474940334129,0.479713603818616,0.346153846153846,0.269230769230769,0,0,NA
65260,"2003-02-25",0.504201680672269,0.365546218487395,0.57,0.31,69.92,66.43,0.526717557251908,0.346055979643766,0.68421052631579,0.31578947368421,0,0,0.407563025210084
65261,"2003-02-26",0.388888888888889,0.316666666666667,0.386138613861386,0.37953795379538,50.4133333333333,34.98,0.41866028708134,0.38755980861244,0.470588235294118,0.294117647058824,0.333333333333333,0,NA
65262,"2003-02-26",0.394849785407725,0.605150214592275,0.392739273927393,0.600660066006601,75.1533333333333,82.11,0.422374429223744,0.561643835616438,0.583333333333333,0.416666666666667,0.333333333333333,0.666666666666667,0.351931330472103
65263,"2003-02-27",0.41696113074205,0.515901060070671,0.450657894736842,0.50328947368421,73.3666666666667,86.79,0.486979166666667,0.442708333333333,0.5,0.375,0.375,0.625,0.904593639575972
65264,"2003-02-27",0.293388429752066,0.553719008264463,0.338870431893688,0.601328903654485,41.3933333333333,72.5625,0.36231884057971,0.528985507246377,0.421052631578947,0.421052631578947,0,0.5,0.487603305785124
