match_id,balls_per_over,team1,team2,gender,season,date,event,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,reserve_umpire,tv_umpire,match_referee,winner,winner_wickets,balls_remaining,winner_runs,outcome,method,eliminator
247474,6,Netherlands,Scotland,male,2006/07,3/22/07,ICC World Cup,19,"Warner Park, Basseterre",St Kitts,Netherlands,field,WF Stelling,EAR de Silva,AL Hill,SA Bucknor,MR Benson,J Srinath,Netherlands,8,157,NA,NA,NA,NA
247477,6,West Indies,Ireland,male,2006/07,3/23/07,ICC World Cup,21,"Sabina Park, Kingston",Jamaica,Ireland,bat,S Chanderpaul,BF Bowden,IJ Gould,SJA Taufel,BG Jerling,RS Mahanama,West Indies,8,59,NA,NA,D/L,NA
247479,6,England,Kenya,male,2006/07,3/24/07,ICC World Cup,23,"Beausejour Stadium, Gros Islet",St Lucia,Kenya,bat,EC Joyce,RE Koertzen,PD Parker,Asad Rauf,BR Doctrove,MJ Procter,England,7,60,NA,NA,NA,NA
247480,6,Bangladesh,Bermuda,male,2006/07,3/25/07,ICC World Cup,24,"Queen's Park Oval, Port of Spain",Trinidad,Bangladesh,field,Mohammad Ashraful,SJ Davis,IL Howell,DJ Harper,Aleem Dar,AG Hurst,Bangladesh,7,21,NA,NA,D/L,NA
247482,6,South Africa,Sri Lanka,male,2006/07,3/28/07,ICC World Cup,26,Providence Stadium,Guyana,Sri Lanka,bat,CK Langeveldt,SA Bucknor,DJ Harper,SJA Taufel,MR Benson,JJ Crowe,South Africa,1,10,NA,NA,NA,NA
247483,6,West Indies,New Zealand,male,2006/07,3/29/07,ICC World Cup,27,"Sir Vivian Richards Stadium, North Sound",Antigua,New Zealand,field,JDP Oram,Asad Rauf,RE Koertzen,BF Bowden,Aleem Dar,MJ Procter,New Zealand,7,64,NA,NA,NA,NA
247485,6,Australia,Bangladesh,male,2006/07,3/31/07,ICC World Cup,29,"Sir Vivian Richards Stadium, North Sound",Antigua,Australia,field,GD McGrath,Aleem Dar,BF Bowden,Asad Rauf,RE Koertzen,BC Broad,Australia,10,49,NA,NA,NA,NA
247487,6,Bangladesh,New Zealand,male,2006/07,4/2/07,ICC World Cup,31,"Sir Vivian Richards Stadium, North Sound",Antigua,New Zealand,field,SE Bond,Aleem Dar,RE Koertzen,BF Bowden,Asad Rauf,MJ Procter,New Zealand,9,124,NA,NA,NA,NA
247488,6,Ireland,South Africa,male,2006/07,4/3/07,ICC World Cup,32,Providence Stadium,Guyana,South Africa,field,JH Kallis,DJ Harper,SJA Taufel,BR Doctrove,MR Benson,RS Madugalle,South Africa,7,21,NA,NA,D/L,NA
247491,6,Australia,England,male,2006/07,4/8/07,ICC World Cup,35,"Sir Vivian Richards Stadium, North Sound",Antigua,England,bat,SW Tait,BF Bowden,RE Koertzen,NA Malcolm,Asad Rauf,MJ Procter,Australia,7,16,NA,NA,NA,NA
247494,6,Bangladesh,England,male,2006/07,4/11/07,ICC World Cup,38,"Kensington Oval, Bridgetown",Barbados,England,field,SI Mahmood,SA Bucknor,SJA Taufel,BF Bowden,RE Koertzen,JJ Crowe,England,4,31,NA,NA,NA,NA
247495,6,New Zealand,Sri Lanka,male,2006/07,4/12/07,ICC World Cup,39,"National Cricket Stadium, St George's",Grenada,New Zealand,bat,WPUJC Vaas,Asad Rauf,BR Doctrove,MR Benson,Aleem Dar,MJ Procter,Sri Lanka,6,29,NA,NA,NA,NA
247496,6,Australia,Ireland,male,2006/07,4/13/07,ICC World Cup,40,"Kensington Oval, Bridgetown",Barbados,Australia,field,GD McGrath,BF Bowden,RE Koertzen,SJA Taufel,SA Bucknor,RS Madugalle,Australia,9,226,NA,NA,NA,NA
247497,6,New Zealand,South Africa,male,2006/07,4/14/07,ICC World Cup,41,"National Cricket Stadium, St George's",Grenada,New Zealand,field,CD McMillan,MR Benson,DJ Harper,Asad Rauf,BR Doctrove,BC Broad,New Zealand,5,10,NA,NA,NA,NA
247499,6,Australia,Sri Lanka,male,2006/07,4/16/07,ICC World Cup,43,"National Cricket Stadium, St George's",Grenada,Sri Lanka,bat,NW Bracken,Aleem Dar,BR Doctrove,DJ Harper,MR Benson,MJ Procter,Australia,7,44,NA,NA,NA,NA
247500,6,England,South Africa,male,2006/07,4/17/07,ICC World Cup,44,"Kensington Oval, Bridgetown",Barbados,England,bat,AJ Hall,SA Bucknor,SJA Taufel,RE Koertzen,BF Bowden,RS Madugalle,South Africa,9,184,NA,NA,NA,NA
