"match_id","date","team1","team2","winner","to_runs_pct","mo_runs_pct","to_mins_pct","mo_mins_pct","to_bf_pct","mo_bf_pct","pct_4s","pct_6s","to_sr","mo_sr","mov"
65235,"2/9/03","West Indies","South Africa","West Indies",0.446969696969697,0.553030303030303,0.521541950113379,0.478458049886621,0.5625,0.4375,0.378787878787879,0.113636363636364,32.03,148.05,0.011
65237,"2/10/03","Sri Lanka","New Zealand","Sri Lanka",0.81496062992126,0.149606299212598,0.855450236966825,0.113744075829384,0.81578947368421,0.151315789473684,0.330708661417323,0,69.23,75.09,0.184
65238,"2/11/03","Australia","Pakistan","Australia",0.290322580645161,0.594982078853047,0.438799076212471,0.457274826789838,0.361563517915309,0.543973941368078,0.473118279569892,0.043010752688172,59.43,56.35,0.293
65239,"2/11/03","Canada","Bangladesh","Canada",0.382165605095541,0.375796178343949,0.317258883248731,0.390862944162437,0.276094276094276,0.437710437710438,0.43312101910828,0.0764331210191083,74.98,29.14,0.38
65240,"2/12/03","Kenya","South Africa","South Africa",0.496,0.4,0.378048780487805,0.515243902439024,0.422413793103448,0.491379310344828,0.32,0.096,36.08,39.59,-0.573
65241,"2/12/03","India","Netherlands","India",0.341968911917098,0.544041450777202,0.356265356265356,0.577395577395577,0.384353741496599,0.557823129251701,0.269430051813472,0.0310880829015544,54.63,59.84,0.351
65242,"2/13/03","New Zealand","West Indies","New Zealand",0.373333333333333,0.311111111111111,0.423173803526448,0.340050377833753,0.397350993377483,0.347682119205298,0.337777777777778,0.106666666666667,72.57,63.38,0.088
65244,"2/15/03","India","Australia","Australia",0.44954128440367,0.137614678899083,0.451790633608815,0.261707988980716,0.334661354581673,0.342629482071713,0.403669724770642,0.055045871559633,67.95,10.98,-0.553
65245,"2/15/03","Canada","Kenya","Kenya",0.243386243386243,0.576719576719577,0.25,0.604591836734694,0.233898305084746,0.63728813559322,0.35978835978836,0.19047619047619,58.76,45.72,-0.03
65246,"2/16/03","Netherlands","England","England",0.150793650793651,0.555555555555556,0.295843520782396,0.501222493887531,0.281456953642384,0.47682119205298,0.444444444444444,0,22.28,26.56,-0.42
65247,"2/16/03","Pakistan","Namibia","Pakistan",0.489270386266094,0.44206008583691,0.590452261306533,0.364321608040201,0.578073089700997,0.378737541528239,0.377682403433476,0,66.83,91.92,0.731
65250,"2/19/03","India","Zimbabwe","India",0.542016806722689,0.390756302521008,0.58679706601467,0.39119804400978,0.555183946488294,0.40133779264214,0.352941176470588,0.0504201680672269,72.06,67.25,0.347
65251,"2/19/03","Canada","Sri Lanka","Sri Lanka",0.290322580645161,0.32258064516129,0.3,0.258823529411765,0.345132743362832,0.221238938053097,0.645161290322581,0,12,20.09,-0.825
65252,"2/19/03","England","Namibia","England",0.295454545454545,0.511363636363636,0.347715736040609,0.510152284263959,0.316831683168317,0.557755775577558,0.393939393939394,0.0909090909090909,71.88,81.8,0.208
65254,"2/22/03","Bangladesh","South Africa","South Africa",0.102272727272727,0.579545454545455,0.236760124610592,0.529595015576324,0.237442922374429,0.547945205479452,0.318181818181818,0.0681818181818182,23.33,43.17,-0.76
65255,"2/22/03","England","Pakistan","England",0.291845493562232,0.55793991416309,0.347222222222222,0.50462962962963,0.337704918032787,0.504918032786885,0.360515021459227,0.0515021459227468,47.97,83.98,0.479
65256,"2/23/03","Canada","West Indies","West Indies",0.768421052631579,0.221052631578947,0.568047337278107,0.375739644970414,0.513307984790874,0.44106463878327,0.31578947368421,0.221052631578947,89.7,35.27,-0.546
65257,"2/23/03","India","Namibia","India",0.976271186440678,0.023728813559322,0.968446601941748,0.0315533980582524,0.976744186046512,0.0232558139534884,0.393220338983051,0.0813559322033898,98.26,100,0.611
65258,"2/24/03","Kenya","Sri Lanka","Kenya",0.395604395604396,0.373626373626374,0.403022670025189,0.425692695214106,0.364238410596026,0.45364238410596,0.395604395604396,0.0659340659340659,41.77,47.74,0.29
65259,"2/24/03","Zimbabwe","Australia","Australia",0.314655172413793,0.323275862068966,0.379474940334129,0.479713603818616,0.398026315789474,0.4375,0.448275862068966,0.0775862068965517,42.15,41.52,-0.05
65260,"2/25/03","Pakistan","Netherlands","Pakistan",0.504201680672269,0.365546218487395,0.526717557251908,0.346055979643766,0.57,0.31,0.319327731092437,0.0252100840336134,69.92,66.43,0.406
65261,"2/26/03","Bangladesh","New Zealand","New Zealand",0.388888888888889,0.316666666666667,0.41866028708134,0.38755980861244,0.386138613861386,0.37953795379538,0.377777777777778,0.1,50.41,34.98,-0.33
65262,"2/26/03","India","England","India",0.394849785407725,0.605150214592275,0.422374429223744,0.561643835616438,0.392739273927393,0.600660066006601,0.412017167381974,0.0772532188841202,75.15,82.11,0.35
65263,"2/27/03","Australia","Namibia","Australia",0.41696113074205,0.515901060070671,0.486979166666667,0.442708333333333,0.450657894736842,0.50328947368421,0.339222614840989,0.169611307420495,73.37,86.79,0.901
65264,"2/27/03","South Africa","Canada","South Africa",0.293388429752066,0.553719008264463,0.36231884057971,0.528985507246377,0.338870431893688,0.601328903654485,0.31404958677686,0.0991735537190083,41.39,72.56,0.486
65265,"2/28/03","Zimbabwe","Netherlands","Zimbabwe",0.40893470790378,0.563573883161512,0.495169082125604,0.483091787439614,0.516666666666667,0.46,0.426116838487972,0.0412371134020619,80.72,127.94,0.339
65266,"2/28/03","Sri Lanka","West Indies","Sri Lanka",0.492957746478873,0.375586854460094,0.621103117505995,0.316546762589928,0.577557755775578,0.33993399339934,0.31924882629108,0,52.37,78.38,0.028
